row_names,id,year,mon,lhs,rhs,support,confidence,lift,count,supA,supB,supEsp,phi,lift.1
1,200411,2004,11,{},{ind1=54},0.0118203309692671,0.0118203309692671,1,5,1,0.0118203309692671,0.0118203309692671,NULL,1
2,200411,2004,11,{},{ind2=51},0.0141843971631206,0.0141843971631206,1,6,1,0.0141843971631206,0.0141843971631206,NULL,1
3,200411,2004,11,{},{ind2=55},0.0236406619385343,0.0236406619385343,1,10,1,0.0236406619385343,0.0236406619385343,NULL,1
4,200411,2004,11,{},{ind2=57},0.0543735224586288,0.0543735224586288,1,23,1,0.0543735224586288,0.0543735224586288,NULL,1
5,200411,2004,11,{},{ind1=57},0.0591016548463357,0.0591016548463357,1,25,1,0.0591016548463357,0.0591016548463357,NULL,1
6,200411,2004,11,{},{ind2=58},0.099290780141844,0.099290780141844,1,42,1,0.099290780141844,0.099290780141844,NULL,1
7,200411,2004,11,{},{ind2=54},0.160756501182033,0.160756501182033,1,68,1,0.160756501182033,0.160756501182033,NULL,1
8,200411,2004,11,{},{ind1=55},0.200945626477541,0.200945626477541,1,85,1,0.200945626477541,0.200945626477541,NULL,1
9,200411,2004,11,{},{ind2=52},0.645390070921986,0.645390070921986,1,273,1,0.645390070921986,0.645390070921986,NULL,1
10,200411,2004,11,{},{ind1=53},0.725768321513002,0.725768321513002,1,307,1,0.725768321513002,0.725768321513002,NULL,1
11,200411,2004,11,{ind1=54},{ind2=55},0.0118203309692671,1,42.3,5,0.0118203309692671,0.0236406619385343,0.000279440448446032,0.702864950581533,42.3
12,200411,2004,11,{ind2=55},{ind1=54},0.0118203309692671,0.5,42.3,5,0.0236406619385343,0.0118203309692671,0.000279440448446032,0.702864950581533,42.3
13,200411,2004,11,{ind2=51},{ind1=53},0.0141843971631206,1,1.37785016286645,6,0.0141843971631206,0.725768321513002,0.0102945861207518,0.0737339337814291,1.37785016286645
14,200411,2004,11,{ind1=53},{ind2=51},0.0141843971631206,0.0195439739413681,1.37785016286645,6,0.725768321513002,0.0141843971631206,0.0102945861207518,0.0737339337814291,1.37785016286645
17,200411,2004,11,{ind2=57},{ind1=53},0.0543735224586288,1,1.37785016286645,23,0.0543735224586288,0.725768321513002,0.0394625801295486,0.147398725791035,1.37785016286645
18,200411,2004,11,{ind1=53},{ind2=57},0.0543735224586288,0.0749185667752443,1.37785016286645,23,0.725768321513002,0.0543735224586288,0.0394625801295486,0.147398725791035,1.37785016286645
19,200411,2004,11,{ind1=57},{ind2=58},0.049645390070922,0.84,8.46,21,0.0591016548463357,0.099290780141844,0.00586824941736667,0.620768188353037,8.46
20,200411,2004,11,{ind2=58},{ind1=57},0.049645390070922,0.5,8.46,21,0.099290780141844,0.0591016548463357,0.00586824941736667,0.620768188353037,8.46
21,200411,2004,11,{ind2=58},{ind1=55},0.0401891252955083,0.404761904761905,2.01428571428571,17,0.099290780141844,0.200945626477541,0.0199520480190467,0.168878195107349,2.01428571428571
22,200411,2004,11,{ind1=55},{ind2=58},0.0401891252955083,0.2,2.01428571428571,17,0.200945626477541,0.099290780141844,0.0199520480190467,0.168878195107349,2.01428571428571
23,200411,2004,11,{ind2=54},{ind1=55},0.160756501182033,1,4.97647058823529,68,0.160756501182033,0.200945626477541,0.0323033158403613,0.872748612628557,4.97647058823529
24,200411,2004,11,{ind1=55},{ind2=54},0.160756501182033,0.8,4.97647058823529,68,0.200945626477541,0.160756501182033,0.0323033158403613,0.872748612628557,4.97647058823529
25,200411,2004,11,{ind2=52},{ind1=53},0.635933806146572,0.985347985347985,1.35766188209185,269,0.645390070921986,0.725768321513002,0.468403668494207,0.784961840260927,1.35766188209185
26,200411,2004,11,{ind1=53},{ind2=52},0.635933806146572,0.876221498371335,1.35766188209185,269,0.725768321513002,0.645390070921986,0.468403668494207,0.784961840260927,1.35766188209185
15,200412,2004,12,{},{ind2=55},0.0135658914728682,0.0135658914728682,1,7,1,0.0135658914728682,0.0135658914728682,NULL,1
27,200412,2004,12,{},{ind1=55},0.0717054263565891,0.0717054263565891,1,37,1,0.0717054263565891,0.0717054263565891,NULL,1
31,200412,2004,12,{},{ind2=54},0.0717054263565891,0.0717054263565891,1,37,1,0.0717054263565891,0.0717054263565891,NULL,1
41,200412,2004,12,{},{ind2=52},0.903100775193798,0.903100775193798,1,466,1,0.903100775193798,0.903100775193798,NULL,1
51,200412,2004,12,{},{ind1=53},0.914728682170543,0.914728682170543,1,472,1,0.914728682170543,0.914728682170543,NULL,1
61,200412,2004,12,{ind1=55},{ind2=54},0.0717054263565891,1,13.9459459459459,37,0.0717054263565891,0.0717054263565891,0.00514166816898023,1,13.9459459459459
71,200412,2004,12,{ind2=54},{ind1=55},0.0717054263565891,1,13.9459459459459,37,0.0717054263565891,0.0717054263565891,0.00514166816898023,1,13.9459459459459
81,200412,2004,12,{ind2=52},{ind1=53},0.897286821705426,0.993562231759657,1.08618243980505,463,0.903100775193798,0.914728682170543,0.826092181960219,0.861730375714653,1.08618243980505
91,200412,2004,12,{ind1=53},{ind2=52},0.897286821705426,0.980932203389831,1.08618243980505,463,0.914728682170543,0.903100775193798,0.826092181960219,0.861730375714653,1.08618243980505
