lat,lon,individual,date
-16.9678878,-57.3738278,Alice,"2015-01-01 00:00:05"
-16.8628828,-57.3903167,Caiman,"2015-01-01 00:00:25"
-16.8827997,-57.4103233,Fera,"2015-01-01 00:00:30"
-16.9100531,-57.4773761,Dale,"2015-01-01 00:00:48"
-16.9350644,-57.3830044,Picole,"2015-01-01 00:01:30"
-16.9181361,-57.4590656,Anderson,"2015-01-01 00:02:02"
-16.9678858,-57.3738872,Alice,"2015-01-01 01:00:13"
-16.8828011,-57.4103175,Fera,"2015-01-01 01:00:14"
-16.9101,-57.4773042,Dale,"2015-01-01 01:00:15"
-16.8645733,-57.3923856,Caiman,"2015-01-01 01:00:16"
-16.9350164,-57.3829733,Picole,"2015-01-01 01:01:18"
-16.9181719,-57.4590325,Anderson,"2015-01-01 01:01:19"
-16.8644597,-57.3923436,Caiman,"2015-01-01 02:00:11"
-16.9678861,-57.3738467,Alice,"2015-01-01 02:00:19"
-16.8828064,-57.4103217,Fera,"2015-01-01 02:01:02"
-16.9350764,-57.3829661,Picole,"2015-01-01 02:01:12"
-16.8645006,-57.3923625,Caiman,"2015-01-01 03:00:10"
-16.8827794,-57.4103211,Fera,"2015-01-01 03:00:16"
-16.9678653,-57.3738439,Alice,"2015-01-01 03:00:20"
-16.9099786,-57.4772969,Dale,"2015-01-01 03:00:48"
-16.9350311,-57.3829372,Picole,"2015-01-01 03:01:30"
-16.9649561,-57.3753158,Alice,"2015-01-01 04:00:18"
-16.9116447,-57.4774931,Dale,"2015-01-01 04:00:29"
-16.9178433,-57.4595831,Anderson,"2015-01-01 04:00:40"
-16.88107,-57.4104928,Fera,"2015-01-01 04:00:44"
-16.9451217,-57.3800892,Picole,"2015-01-01 04:01:16"
-16.8644886,-57.3922919,Caiman,"2015-01-01 04:02:07"
-16.9078497,-57.4736853,Dale,"2015-01-01 05:00:08"
-16.968285,-57.3807197,Alice,"2015-01-01 05:00:30"
-16.8646331,-57.3928131,Caiman,"2015-01-01 05:00:48"
-16.9176772,-57.469105,Anderson,"2015-01-01 05:01:15"
-16.9442233,-57.3798044,Picole,"2015-01-01 05:01:27"
-16.8646436,-57.393555,Caiman,"2015-01-01 06:00:08"
-16.9117442,-57.4673067,Dale,"2015-01-01 06:00:19"
-16.8834558,-57.4143181,Fera,"2015-01-01 06:00:44"
-16.9678808,-57.3840994,Alice,"2015-01-01 06:00:48"
